Batch Size,Model Name,Compilation Type,Time,Device,Component
1,runwayml/stable-diffusion-v1-5,default,79000.0,cpu,full
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,12900.0,cpu,full
1,runwayml/stable-diffusion-v1-5,reduce-overhead,78900.0,cpu,full
2,openMUSE/muse-laiona6-uvit-clip-220k,None,22100.0,cpu,full
2,openMUSE/muse-laiona6-uvit-clip-220k,default,22100.0,cpu,full
4,openMUSE/muse-laiona6-uvit-clip-220k,None,42200.0,cpu,full
4,openMUSE/muse-laiona6-uvit-clip-220k,default,42600.0,cpu,full
8,openMUSE/muse-laiona6-uvit-clip-220k,None,82600.0,cpu,full
8,openMUSE/muse-laiona6-uvit-clip-220k,default,82500.0,cpu,full
1,williamberman/laiona6plus_uvit_clip_f8,None,115.4,4090,full
1,williamberman/laiona6plus_uvit_clip_f8,default,115.7,4090,full
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,116.9,4090,full
2,williamberman/laiona6plus_uvit_clip_f8,None,206.5,4090,full
2,williamberman/laiona6plus_uvit_clip_f8,default,205.4,4090,full
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,205.9,4090,full
4,williamberman/laiona6plus_uvit_clip_f8,None,315.1,4090,full
4,williamberman/laiona6plus_uvit_clip_f8,default,315.5,4090,full
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,316.2,4090,full
8,williamberman/laiona6plus_uvit_clip_f8,None,645.2,4090,full
8,williamberman/laiona6plus_uvit_clip_f8,default,647.3,4090,full
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,645.5,4090,full
16,williamberman/laiona6plus_uvit_clip_f8,None,1400.0,4090,full
16,williamberman/laiona6plus_uvit_clip_f8,default,1400.0,4090,full
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1400.0,4090,full
32,williamberman/laiona6plus_uvit_clip_f8,None,3000.0,4090,full
32,williamberman/laiona6plus_uvit_clip_f8,default,3000.0,4090,full
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3000.0,4090,full
1,williamberman/laiona6plus_uvit_clip_f8,None,356.0,a100,full
1,williamberman/laiona6plus_uvit_clip_f8,default,360.6,a100,full
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,359.3,a100,full
2,williamberman/laiona6plus_uvit_clip_f8,None,407.5,a100,full
2,williamberman/laiona6plus_uvit_clip_f8,default,419.2,a100,full
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,417.1,a100,full
4,williamberman/laiona6plus_uvit_clip_f8,None,492.1,a100,full
4,williamberman/laiona6plus_uvit_clip_f8,default,496.6,a100,full
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,495.0,a100,full
8,williamberman/laiona6plus_uvit_clip_f8,None,789.4,a100,full
8,williamberman/laiona6plus_uvit_clip_f8,default,790.0,a100,full
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,790.1,a100,full
16,williamberman/laiona6plus_uvit_clip_f8,None,1600.0,a100,full
16,williamberman/laiona6plus_uvit_clip_f8,default,1600.0,a100,full
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1600.0,a100,full
32,williamberman/laiona6plus_uvit_clip_f8,None,3000.0,a100,full
32,williamberman/laiona6plus_uvit_clip_f8,default,3000.0,a100,full
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3000.0,a100,full
1,williamberman/laiona6plus_uvit_clip_f8,None,554.5,t4,full
1,williamberman/laiona6plus_uvit_clip_f8,default,554.4,t4,full
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,559.2,t4,full
2,williamberman/laiona6plus_uvit_clip_f8,None,1100.0,t4,full
2,williamberman/laiona6plus_uvit_clip_f8,default,1100.0,t4,full
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1100.0,t4,full
4,williamberman/laiona6plus_uvit_clip_f8,None,2300.0,t4,full
4,williamberman/laiona6plus_uvit_clip_f8,default,2300.0,t4,full
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,2300.0,t4,full
8,williamberman/laiona6plus_uvit_clip_f8,None,4700.0,t4,full
8,williamberman/laiona6plus_uvit_clip_f8,default,4900.0,t4,full
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4700.0,t4,full
16,williamberman/laiona6plus_uvit_clip_f8,None,9300.0,t4,full
16,williamberman/laiona6plus_uvit_clip_f8,default,9400.0,t4,full
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,9200.0,t4,full
32,williamberman/laiona6plus_uvit_clip_f8,None,18600.0,t4,full
32,williamberman/laiona6plus_uvit_clip_f8,default,17600.0,t4,full
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,18000.0,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,None,452.5,t4,full
1,runwayml/stable-diffusion-v1-5,None,3221.2,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,default,456.9,t4,full
1,runwayml/stable-diffusion-v1-5,default,3148.8,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,462.6,t4,full
1,runwayml/stable-diffusion-v1-5,reduce-overhead,3206.6,t4,full
2,openMUSE/muse-laiona6-uvit-clip-220k,None,919.1,t4,full
2,runwayml/stable-diffusion-v1-5,None,6493.7,t4,full
2,openMUSE/muse-laiona6-uvit-clip-220k,default,959.7,t4,full
2,runwayml/stable-diffusion-v1-5,default,6230.0,t4,full
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,948.9,t4,full
2,runwayml/stable-diffusion-v1-5,reduce-overhead,6565.9,t4,full
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1800.0,t4,full
8,openMUSE/muse-laiona6-uvit-clip-220k,None,3700.0,t4,full
8,runwayml/stable-diffusion-v1-5,None,23600.0,t4,full
8,openMUSE/muse-laiona6-uvit-clip-220k,default,3500.0,t4,full
8,runwayml/stable-diffusion-v1-5,default,23000.0,t4,full
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,3500.0,t4,full
16,openMUSE/muse-laiona6-uvit-clip-220k,None,7300.0,t4,full
16,runwayml/stable-diffusion-v1-5,None,47700.0,t4,full
16,openMUSE/muse-laiona6-uvit-clip-220k,default,7200.0,t4,full
16,runwayml/stable-diffusion-v1-5,default,44700.0,t4,full
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,7300.0,t4,full
32,openMUSE/muse-laiona6-uvit-clip-220k,None,14300.0,t4,full
32,openMUSE/muse-laiona6-uvit-clip-220k,default,13600.0,t4,full
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14100.0,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,None,6.6,4090,vae
1,runwayml/stable-diffusion-v1-5,None,32.1,4090,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,default,6.6,4090,vae
1,runwayml/stable-diffusion-v1-5,default,32.2,4090,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,6.6,4090,vae
1,runwayml/stable-diffusion-v1-5,reduce-overhead,32.3,4090,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,None,10.8,4090,vae
2,runwayml/stable-diffusion-v1-5,None,71.9,4090,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,default,10.8,4090,vae
2,runwayml/stable-diffusion-v1-5,default,71.9,4090,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,10.7,4090,vae
2,runwayml/stable-diffusion-v1-5,reduce-overhead,71.8,4090,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,None,22.6,4090,vae
4,runwayml/stable-diffusion-v1-5,None,140.2,4090,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,default,22.6,4090,vae
4,runwayml/stable-diffusion-v1-5,default,139.9,4090,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,22.5,4090,vae
4,runwayml/stable-diffusion-v1-5,reduce-overhead,140.1,4090,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,None,48.5,4090,vae
8,runwayml/stable-diffusion-v1-5,None,275.5,4090,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,default,48.4,4090,vae
8,runwayml/stable-diffusion-v1-5,default,275.9,4090,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,48.4,4090,vae
8,runwayml/stable-diffusion-v1-5,reduce-overhead,275.5,4090,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,None,94.6,4090,vae
16,runwayml/stable-diffusion-v1-5,None,559.4,4090,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,default,94.5,4090,vae
16,runwayml/stable-diffusion-v1-5,default,559.6,4090,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,94.6,4090,vae
16,runwayml/stable-diffusion-v1-5,reduce-overhead,559.2,4090,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,None,190.0,4090,vae
32,runwayml/stable-diffusion-v1-5,None,1207.8,4090,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,default,190.1,4090,vae
32,runwayml/stable-diffusion-v1-5,default,1206.9,4090,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,190.0,4090,vae
32,runwayml/stable-diffusion-v1-5,reduce-overhead,1202.6,4090,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,None,9.3,a100,vae
1,runwayml/stable-diffusion-v1-5,None,37.8,a100,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,default,9.4,a100,vae
1,runwayml/stable-diffusion-v1-5,default,37.8,a100,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,9.4,a100,vae
1,runwayml/stable-diffusion-v1-5,reduce-overhead,37.8,a100,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,None,14.3,a100,vae
2,runwayml/stable-diffusion-v1-5,None,76.3,a100,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,default,14.3,a100,vae
2,runwayml/stable-diffusion-v1-5,default,76.0,a100,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14.3,a100,vae
2,runwayml/stable-diffusion-v1-5,reduce-overhead,76.1,a100,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,None,23.8,a100,vae
4,runwayml/stable-diffusion-v1-5,None,138.0,a100,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,default,23.7,a100,vae
4,runwayml/stable-diffusion-v1-5,default,137.9,a100,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,23.7,a100,vae
4,runwayml/stable-diffusion-v1-5,reduce-overhead,137.9,a100,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,None,41.5,a100,vae
8,runwayml/stable-diffusion-v1-5,None,259.3,a100,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,default,41.5,a100,vae
8,runwayml/stable-diffusion-v1-5,default,259.9,a100,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,41.5,a100,vae
8,runwayml/stable-diffusion-v1-5,reduce-overhead,260.0,a100,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,None,79.0,a100,vae
16,runwayml/stable-diffusion-v1-5,None,515.6,a100,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,default,79.0,a100,vae
16,runwayml/stable-diffusion-v1-5,default,515.9,a100,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,79.1,a100,vae
16,runwayml/stable-diffusion-v1-5,reduce-overhead,516.8,a100,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,None,153.0,a100,vae
32,runwayml/stable-diffusion-v1-5,None,1080.2,a100,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,default,153.3,a100,vae
32,runwayml/stable-diffusion-v1-5,default,1083.2,a100,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,153.2,a100,vae
32,runwayml/stable-diffusion-v1-5,reduce-overhead,1082.3,a100,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,None,843.1,cpu,vae
1,runwayml/stable-diffusion-v1-5,None,5492.5,cpu,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,default,764.6,cpu,vae
1,runwayml/stable-diffusion-v1-5,default,5009.1,cpu,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,699.9,cpu,vae
1,runwayml/stable-diffusion-v1-5,reduce-overhead,4492.6,cpu,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,None,1700.0,cpu,vae
2,runwayml/stable-diffusion-v1-5,None,8700.0,cpu,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,default,1700.0,cpu,vae
2,runwayml/stable-diffusion-v1-5,default,8800.0,cpu,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1400.0,cpu,vae
2,runwayml/stable-diffusion-v1-5,reduce-overhead,7700.0,cpu,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,None,3400.0,cpu,vae
4,runwayml/stable-diffusion-v1-5,None,17700.0,cpu,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,default,3100.0,cpu,vae
4,runwayml/stable-diffusion-v1-5,default,17300.0,cpu,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,2700.0,cpu,vae
4,runwayml/stable-diffusion-v1-5,reduce-overhead,15500.0,cpu,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,None,6800.0,cpu,vae
8,runwayml/stable-diffusion-v1-5,None,35500.0,cpu,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,default,6800.0,cpu,vae
8,runwayml/stable-diffusion-v1-5,default,35500.0,cpu,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,6200.0,cpu,vae
8,runwayml/stable-diffusion-v1-5,reduce-overhead,33900.0,cpu,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,None,13500.0,cpu,vae
16,runwayml/stable-diffusion-v1-5,None,70500.0,cpu,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,default,13500.0,cpu,vae
16,runwayml/stable-diffusion-v1-5,default,70100.0,cpu,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,12400.0,cpu,vae
16,runwayml/stable-diffusion-v1-5,reduce-overhead,69400.0,cpu,vae
1,williamberman/laiona6plus_uvit_clip_f8,None,1.9,4090,vae
1,williamberman/laiona6plus_uvit_clip_f8,default,1.9,4090,vae
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1.9,4090,vae
2,williamberman/laiona6plus_uvit_clip_f8,None,1.9,4090,vae
2,williamberman/laiona6plus_uvit_clip_f8,default,1.9,4090,vae
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1.9,4090,vae
4,williamberman/laiona6plus_uvit_clip_f8,None,1.9,4090,vae
4,williamberman/laiona6plus_uvit_clip_f8,default,1.9,4090,vae
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1.9,4090,vae
8,williamberman/laiona6plus_uvit_clip_f8,None,2.5,4090,vae
8,williamberman/laiona6plus_uvit_clip_f8,default,2.5,4090,vae
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,2.5,4090,vae
16,williamberman/laiona6plus_uvit_clip_f8,None,4.7,4090,vae
16,williamberman/laiona6plus_uvit_clip_f8,default,4.7,4090,vae
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4.7,4090,vae
32,williamberman/laiona6plus_uvit_clip_f8,None,9.7,4090,vae
32,williamberman/laiona6plus_uvit_clip_f8,default,9.7,4090,vae
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,9.7,4090,vae
1,williamberman/laiona6plus_uvit_clip_f8,None,6.7,a100,vae
1,williamberman/laiona6plus_uvit_clip_f8,default,6.7,a100,vae
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.7,a100,vae
2,williamberman/laiona6plus_uvit_clip_f8,None,6.6,a100,vae
2,williamberman/laiona6plus_uvit_clip_f8,default,6.7,a100,vae
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.7,a100,vae
4,williamberman/laiona6plus_uvit_clip_f8,None,6.6,a100,vae
4,williamberman/laiona6plus_uvit_clip_f8,default,6.7,a100,vae
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.7,a100,vae
8,williamberman/laiona6plus_uvit_clip_f8,None,6.6,a100,vae
8,williamberman/laiona6plus_uvit_clip_f8,default,6.6,a100,vae
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.6,a100,vae
16,williamberman/laiona6plus_uvit_clip_f8,None,6.5,a100,vae
16,williamberman/laiona6plus_uvit_clip_f8,default,6.6,a100,vae
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.6,a100,vae
32,williamberman/laiona6plus_uvit_clip_f8,None,11.8,a100,vae
32,williamberman/laiona6plus_uvit_clip_f8,default,11.8,a100,vae
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,11.8,a100,vae
1,williamberman/laiona6plus_uvit_clip_f8,None,6.4,t4,vae
1,williamberman/laiona6plus_uvit_clip_f8,default,6.9,t4,vae
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.6,t4,vae
2,williamberman/laiona6plus_uvit_clip_f8,None,6.2,t4,vae
2,williamberman/laiona6plus_uvit_clip_f8,default,6.3,t4,vae
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.4,t4,vae
4,williamberman/laiona6plus_uvit_clip_f8,None,8.7,t4,vae
4,williamberman/laiona6plus_uvit_clip_f8,default,8.8,t4,vae
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,8.9,t4,vae
8,williamberman/laiona6plus_uvit_clip_f8,None,17.5,t4,vae
8,williamberman/laiona6plus_uvit_clip_f8,default,17.2,t4,vae
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,17.3,t4,vae
16,williamberman/laiona6plus_uvit_clip_f8,None,36.9,t4,vae
16,williamberman/laiona6plus_uvit_clip_f8,default,36.5,t4,vae
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,36.7,t4,vae
32,williamberman/laiona6plus_uvit_clip_f8,None,74.5,t4,vae
32,williamberman/laiona6plus_uvit_clip_f8,default,74.8,t4,vae
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,75.8,t4,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,None,39.2,t4,vae
1,runwayml/stable-diffusion-v1-5,None,180.9,t4,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,default,39.5,t4,vae
1,runwayml/stable-diffusion-v1-5,default,180.7,t4,vae
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,39.8,t4,vae
1,runwayml/stable-diffusion-v1-5,reduce-overhead,183.4,t4,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,None,75.1,t4,vae
2,runwayml/stable-diffusion-v1-5,None,539.6,t4,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,default,75.4,t4,vae
2,runwayml/stable-diffusion-v1-5,default,541.6,t4,vae
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,76.1,t4,vae
2,runwayml/stable-diffusion-v1-5,reduce-overhead,547.6,t4,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,None,143.0,t4,vae
4,runwayml/stable-diffusion-v1-5,None,1096.7,t4,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,default,143.2,t4,vae
4,runwayml/stable-diffusion-v1-5,default,1101.5,t4,vae
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,146.1,t4,vae
4,runwayml/stable-diffusion-v1-5,reduce-overhead,1112.5,t4,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,None,283.2,t4,vae
8,runwayml/stable-diffusion-v1-5,None,2308.7,t4,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,default,288.6,t4,vae
8,runwayml/stable-diffusion-v1-5,default,2341.7,t4,vae
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,299.6,t4,vae
8,runwayml/stable-diffusion-v1-5,reduce-overhead,2358.8,t4,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,None,569.0,t4,vae
16,runwayml/stable-diffusion-v1-5,None,4688.8,t4,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,default,582.9,t4,vae
16,runwayml/stable-diffusion-v1-5,default,4708.9,t4,vae
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,576.2,t4,vae
16,runwayml/stable-diffusion-v1-5,reduce-overhead,4666.3,t4,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,None,1100.0,t4,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,default,1100.0,t4,vae
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1100.0,t4,vae
